texmf-dist/tex/latex/exam-zh/exam-zh.cls:1112:1:1112:97: s103 line too long
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1112:68:1112:68: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1112:69:1112:69: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1123:20:1123:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1123:25:1123:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1124:1:1124:97: s103 line too long
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1124:68:1124:68: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1124:69:1124:69: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1135:20:1135:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1135:25:1135:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1136:1:1136:97: s103 line too long
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1136:68:1136:68: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1136:69:1136:69: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1142:12:1142:12: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1142:26:1142:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1142:27:1142:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1156:1:1156:83: s103 line too long
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1284:12:1284:12: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1284:23:1284:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1297:10:1297:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1297:21:1297:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1302:12:1302:12: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1302:23:1302:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1302:24:1302:24: s204 missing stylistic whitespaces
