texmf-dist/tex/latex/nicetext/fifinddo.sty:815:30:815:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:815:31:815:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:815:32:815:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:824:1:824:83: s103 line too long
texmf-dist/tex/latex/nicetext/fifinddo.sty:844:5:844:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:844:31:844:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:844:44:844:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:851:18:851:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:864:39:864:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:864:40:864:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:871:20:871:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:871:28:871:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:871:32:871:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:871:37:871:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:884:1:884:82: s103 line too long
texmf-dist/tex/latex/nicetext/fifinddo.sty:895:19:895:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:895:43:895:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:895:44:895:44: s204 missing stylistic whitespaces
